OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-03-01T00:00:00,2020-03-31T23:59:59,Month,2020-03,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,171495,225755,146552,119193,92120
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-02-01T00:00:00,2020-02-28T23:59:59,Month,2020-02,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,183795,242027,162955,131398,97284
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-02-01T00:00:00,2020-02-28T23:59:59,Month,2020-02,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,154423,212001,132861,106326,80804
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-02-01T00:00:00,2020-02-28T23:59:59,Month,2020-02,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,171893,212290,146349,116055,85519
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-02-01T00:00:00,2020-02-28T23:59:59,Month,2020-02,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,153463,246247,166431,127738,102193
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-02-01T00:00:00,2020-02-28T23:59:59,Month,2020-02,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,212113,257191,175122,144432,102478
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-02-01T00:00:00,2020-02-28T23:59:59,Month,2020-02,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,188587,233921,160074,130136,85122
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-02-01T00:00:00,2020-02-28T23:59:59,Month,2020-02,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,212984,299062,193510,155668,107538
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-02-01T00:00:00,2020-02-28T23:59:59,Month,2020-02,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,171479,225651,146634,119135,92561
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-01-20T00:00:00,2020-01-31T23:59:59,Month,2020-01,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,184819,243916,163842,131577,97492
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-01-20T00:00:00,2020-01-31T23:59:59,Month,2020-01,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,152774,209892,131534,104907,79630
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-01-20T00:00:00,2020-01-31T23:59:59,Month,2020-01,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,174701,215750,148748,117802,87124
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-01-20T00:00:00,2020-01-31T23:59:59,Month,2020-01,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,152140,244240,165045,126575,101548
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-01-20T00:00:00,2020-01-31T23:59:59,Month,2020-01,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,214157,259869,176614,145738,103668
